Country,Date,Credit_Rating,Political_Risk_Score,Banking_Sector_Health,Real_Estate_Index,Export_Growth_Percent,Import_Growth_Percent
United States,2024-08-15,AAA,8.1,Strong,145.6,3.2,2.8
China,2024-08-15,A+,6.7,Moderate,98.7,8.9,6.1
Japan,2024-08-15,A+,8.4,Strong,89.3,5.1,4.7
Germany,2024-08-15,AAA,8.7,Strong,112.4,2.1,1.8
United Kingdom,2024-08-15,AA,7.9,Moderate,97.8,0.9,1.2
France,2024-08-15,AA,7.3,Moderate,103.2,1.8,2.1
India,2024-08-15,BBB-,6.8,Moderate,134.8,13.2,10.9
Canada,2024-08-15,AAA,8.9,Strong,126.7,4.1,3.8
Brazil,2024-08-15,BB-,5.4,Weak,89.3,8.7,6.9
Australia,2024-08-15,AAA,8.6,Strong,118.9,6.2,5.4
South Korea,2024-08-15,AA,7.8,Strong,95.6,9.1,7.8
Russia,2024-08-15,BB+,3.2,Weak,67.4,15.2,18.7
Mexico,2024-08-15,BBB,6.1,Moderate,102.3,7.9,8.2
Italy,2024-08-15,BBB,7.1,Moderate,89.7,3.2,2.9
Spain,2024-08-15,A,7.8,Moderate,98.3,4.1,3.7
Netherlands,2024-08-15,AAA,8.8,Strong,134.5,2.8,2.4
Switzerland,2024-08-15,AAA,9.1,Strong,142.6,1.9,2.1
Sweden,2024-08-15,AAA,8.9,Strong,119.8,3.4,2.9
Norway,2024-08-15,AAA,9.0,Strong,127.3,8.9,6.7
Denmark,2024-08-15,AAA,8.9,Strong,124.7,2.1,1.8
Singapore,2024-08-15,AAA,8.7,Strong,98.9,12.4,11.7
Hong Kong,2024-08-15,AA+,7.2,Moderate,87.6,6.7,5.9
Taiwan,2024-08-15,AA,8.1,Strong,112.4,15.2,13.8
Indonesia,2024-08-15,BBB,6.5,Moderate,89.7,8.9,7.3
Thailand,2024-08-15,BBB+,7.1,Moderate,95.3,4.1,3.8
Malaysia,2024-08-15,A-,7.3,Moderate,87.9,6.7,5.9
Philippines,2024-08-15,BBB+,6.8,Moderate,78.9,8.1,7.4
Vietnam,2024-08-15,BB+,6.2,Moderate,123.4,12.8,14.2
Turkey,2024-08-15,B+,4.8,Weak,67.8,3.4,8.9
South Africa,2024-08-15,BB-,5.9,Weak,89.3,2.1,1.8
Egypt,2024-08-15,B+,4.2,Weak,56.7,12.3,23.4
Nigeria,2024-08-15,B-,3.8,Weak,78.9,23.4,34.5
Chile,2024-08-15,A,7.8,Moderate,95.6,6.7,5.2
Argentina,2024-08-15,CCC+,2.1,Weak,34.5,-12.3,15.6
Colombia,2024-08-15,BB+,5.8,Moderate,87.3,8.9,7.1
Peru,2024-08-15,BBB+,6.7,Moderate,98.7,9.8,8.2
UAE,2024-08-15,AA,8.2,Strong,134.5,23.4,18.9
Saudi Arabia,2024-08-15,A-,6.9,Moderate,98.7,12.3,8.9
Israel,2024-08-15,A+,6.8,Moderate,89.7,5.6,4.2
